"FLOW","Type of FDI","ECOACT","Industry","CUR","Currency","COU","Reporting country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IN","Inward","3995","MANUFACTURING","SUB","Reported currency","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,5965.167,,
"IN","Inward","3995","MANUFACTURING","SUB","Reported currency","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,12588.409,,
"IN","Inward","3995","MANUFACTURING","SUB","Reported currency","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,9784.341,,
"IN","Inward","3995","MANUFACTURING","SUB","Reported currency","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,7328.185,,
"IN","Inward","3995","MANUFACTURING","USD","US Dollar","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,9677.025,,
"IN","Inward","3995","MANUFACTURING","USD","US Dollar","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,13877.323,,
"IN","Inward","3995","MANUFACTURING","USD","US Dollar","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,11046.282,,
"IN","Inward","3995","MANUFACTURING","USD","US Dollar","MEX","Mexico","2006","2006","USD","US Dollar","6","Millions",,,10173.809,,
"IN","Inward","3995","MANUFACTURING","USD","US Dollar","MEX","Mexico","2007","2007","USD","US Dollar","6","Millions",,,13861.137,,
"IN","Inward","3995","MANUFACTURING","USD","US Dollar","MEX","Mexico","2008","2008","USD","US Dollar","6","Millions",,,8258.685,,
"IN","Inward","3995","MANUFACTURING","USD","US Dollar","MEX","Mexico","2009","2009","USD","US Dollar","6","Millions",,,5965.167,,
"IN","Inward","3995","MANUFACTURING","USD","US Dollar","MEX","Mexico","2010","2010","USD","US Dollar","6","Millions",,,12588.409,,
"IN","Inward","3995","MANUFACTURING","USD","US Dollar","MEX","Mexico","2011","2011","USD","US Dollar","6","Millions",,,9784.341,,
"IN","Inward","3995","MANUFACTURING","USD","US Dollar","MEX","Mexico","2012","2012","USD","US Dollar","6","Millions",,,7328.185,,
"IN","Inward","1605","Food products","SUB","Reported currency","MEX","Mexico","2003","2003","USD","US Dollar","6","Millions",,,3398.012,,
"IN","Inward","1605","Food products","SUB","Reported currency","MEX","Mexico","2004","2004","USD","US Dollar","6","Millions",,,3933.415,,
"IN","Inward","1605","Food products","SUB","Reported currency","MEX","Mexico","2005","2005","USD","US Dollar","6","Millions",,,2443.962,,
